station,color_code,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10
松江南京,O,893131,916097,891587,901469,927001,951569,948736,821972,996775,900105,936530,899280,932306,974617,861866,937885,958007,987751,916668,930028,1009102,941988,954316,984455,975616,977694,955788,895842,978390,1022473,988504,867326,1012670,905007,958202,951775,977884,995974,963744,982764,1002771,1061288,1025774,844313,1018427,974690,1018585,1010576,1056025,1020625,1015857,1018836,1060278,1115657,929807,921190,858701,703868,805046,838615,908420,989475,1029999,944928
台北小巨蛋,G,491988,531508,572364,552627,585478,603883,592340,522591,624274,577252,584121,554225,530876,567053,521648,592454,616997,688798,581666,598194,660238,601451,614055,628002,601304,701043,629613,588727,647083,677943,641295,562744,688273,632174,656269,612099,603454,621533,645281,656184,660062,690306,682165,585925,688049,644675,666547,635962,633187,611580,653425,635189,676080,689959,590900,581964,529814,442899,505106,528383,580790,656819,697656,602452
南京三民,G,510116,524118,516767,524436,539657,569630,567320,513570,588620,548156,569881,549382,567243,587391,528007,579011,593569,622274,588150,594184,625936,601552,615994,633767,609925,617154,610555,578915,629395,660272,632803,578238,653699,600484,632459,628169,634789,649001,637019,651474,661130,697338,675819,570739,663273,640762,665976,651062,662647,644397,652617,662634,692593,693209,590764,565715,549204,464535,532358,554839,586622,640530,668673,632062
松山,G,487945,496194,498014,520021,534154,559116,546883,551684,573584,547378,557458,544158,560426,588031,506251,569408,588197,622101,592682,604641,627163,602787,609024,590631,611917,634945,594958,580236,630562,665818,639527,613023,667384,623043,639664,618492,635257,656059,619326,654527,655237,682165,673248,621609,661648,655791,657397,645636,668243,655714,643045,670477,695799,725010,644560,578621,520865,438116,485301,536635,578824,638212,636945,624556
輔大,O,232238,219218,308782,360519,359981,364171,283173,231359,361792,326035,347969,313955,231618,221885,290456,356266,358295,367980,275312,250939,356711,321894,339048,320427,230389,234793,291673,334235,349820,357978,308898,209917,355846,308040,352846,336753,240742,233825,338510,372311,367250,370299,290018,258689,359677,320128,358376,325548,251712,233309,350689,369875,384152,383590,260041,217530,341907,280493,325625,321730,249981,259079,363616,397691
新莊,O,285749,291935,315867,316910,317979,327529,305983,294804,324721,316819,325558,305356,302018,309548,292847,327429,318023,329663,303096,324752,326183,309642,319684,306232,283942,307185,305627,302882,312784,322521,303197,277366,328894,310464,317289,303434,308034,304421,313512,332580,318421,327492,314284,283602,314912,311655,315159,317922,311432,291540,319031,317510,324079,330793,287959,263154,268298,230639,261254,271134,278541,308774,325973,328528
頭前庄,O,115440,109679,115732,120608,121859,125248,125685,114380,124068,115153,119886,118873,115515,115584,111169,120527,124947,132078,125558,120931,118582,114967,117310,116713,118707,117873,117358,116588,121549,127929,122501,113213,126787,118534,124570,121953,120166,122193,125303,130695,128897,137350,135764,119474,135157,127676,129986,132819,130703,125783,137794,144731,148333,158145,156904,169314,135504,115680,128437,137396,143705,156509,163280,162081
先嗇宮,O,95364,97458,96324,98238,100926,102803,103662,93289,108145,100079,103398,100097,100759,104032,96558,104989,108302,112488,105289,103970,112437,109922,113170,113986,112724,114207,113582,105432,114800,120806,117391,105876,123769,111595,116732,116719,116132,118792,115951,118674,121572,126130,125727,103615,121305,116000,118906,117999,120349,115435,119247,120898,125542,129291,109891,113892,112606,98140,107759,110274,117747,127683,133913,127081
三重,O,103258,101565,107734,113622,123932,123740,115200,110230,124760,120604,121657,117189,115440,118349,113781,127295,134851,144602,120094,149109,185705,166721,163746,161940,155347,159970,156532,162570,164689,178919,168311,155787,206857,175968,170590,166264,161862,166570,168585,181796,179668,186881,182774,188250,197817,181882,180455,178514,176126,174722,227937,274102,194595,200153,181369,193388,153675,134485,150589,158949,169360,198182,194131,206015
菜寮,O,215168,213346,229142,236807,241764,248671,235806,228923,258521,240781,250850,236457,228843,239029,231776,257509,260804,270671,244251,248665,269818,254488,262389,258733,245034,246190,255286,251424,265367,276056,262350,234766,274183,251732,262093,256234,242341,249021,260883,271975,275367,283784,267837,245829,277666,265364,273211,266767,260529,252562,274080,282222,289169,296735,248822,237449,248261,214810,239710,243337,248953,270329,288643,288339
